company,email,career_url,linkedin_url,is_hyd_hub
Accenture,candidate.queries@accenture.com,https://accenture.com/us-en/careers,https://linkedin.com/company/accenture,True
Accenture,india.recruitment@accenture.com,https://accenture.com/us-en/careers,https://linkedin.com/company/accenture,True
Accenture,india.recruitment@accenture.com,https://accenture.com/careers,linkedin.com/company/accenture,True
AdOnMo,ask@adonmo.com,https://adonmo.com/careers,https://linkedin.com/company/adonmo,True
AjnaLens,careers@ajnalens.com,https://ajnalens.com/careers,https://linkedin.com/company/ajnalens,False
Ayekart,help@ayekart.com,https://ayekart.com/careers.html,https://linkedin.com/company/ayekart,False
BirlaSoft,careers@birlasoft.com,https://birlasoft.com/careers,linkedin.com/company/birlasoft,True
Bizongo,support@bizongo.com,https://bizongo.com/careers,https://linkedin.com/company/bizongo,False
BlueSemi R&D; Pvt Ltd,divya@bluesemi.io,https://bluesemi.io/careers,https://linkedin.com/company/eyvabybluesemi,True
BluSapphire,info@blusapphire.net,https://blusapphire.com/careers,https://linkedin.com/company/blusapphire,False
Bolt.Earth,sales@bolt.earth,https://bolt.earth/careers,https://linkedin.com/company/bolt-earth,False
Bolt.Earth,support@bolt.earth,https://bolt.earth/careers,https://linkedin.com/company/bolt-earth,False
Booz Allen Hamilton,helpdesk@bah.com,https://careers.boozallen.com/jobs/search,https://linkedin.com/company/booz-allen-hamilton,False
Capgemini,cg_interview_helpdesk.in@capgemini.com,https://careers.capgemini.com,https://linkedin.com/company/capgemini,True
Capgemini,cg_interview_helpdesk.in@capgemini.com,https://capgemini.com/careers,linkedin.com/company/capgemini,True
Captain Fresh,marketing@captainfresh.in,https://captainfresh.in/careers,https://linkedin.com/company/captain-fresh,False
Captain Fresh,cs@captainfresh.in,https://captainfresh.in/careers,https://linkedin.com/company/captain-fresh,False
CGI,careers@cgi.com,https://cgi.com/careers,linkedin.com/company/cgi,False
Cloudnine Hospital,support@cloudnine.com,https://cloudninefertility.com/career,https://linkedin.com/company/cloudninehospitals,False
Coforge,careers@coforge.com,https://coforge.com/careers,linkedin.com/company/coforge,False
Cognizant,cognizant.recruitment@cognizant.com,https://talent.cognizant.com,https://linkedin.com/company/cognizant,True
Cognizant,cognizant.recruitment@cognizant.com,https://careers.cognizant.com,linkedin.com/company/cognizant,True
CriticalRiver,contact@criticalriver.com,https://criticalriver.com/careers,https://linkedin.com/company/criticalriver,False
CtrlS Datacenters,recruitment@ctrls.in,https://ctrls.com/careers,https://linkedin.com/company/ctrls-datacenters-ltd,False
Cyient,hrescalations@cyient.com,https://careers.cyient.com/cyient,https://linkedin.com/company/cyient,True
Darwinbox,careers@darwinbox.com,https://darwinbox.com/careers,https://linkedin.com/company/darwinbox,False
DXC Technology,gss-hr-er@dxc.com,https://careers.dxc.com,https://linkedin.com/company/dxc-technology,True
EdgeVerve,careers@edgeverve.com,https://edgeverve.com/careers,linkedin.com/company/edgeverve,False
Evalueserve,careers@evalueserve.com,https://evalueserve.com/careers,https://linkedin.com/company/evalueserve,False
EY (Ernst & Young),contactrecruitment@au.ey.com,https://ey.com/en_in/careers,https://linkedin.com/company/ernstandyoung,False
FactSet,accommodations@factset.com,https://factset.com/careers,https://linkedin.com/company/factset,True
FarMart,info@farmart.co,https://farmart.co/careers,https://linkedin.com/company/farmart-app-os,False
FarMart,letsbuildthefuture@farmart.co,https://farmart.co/careers,https://linkedin.com/company/farmart-app-os,False
Fiserv,askhr.us@fiserv.com,https://careers.fiserv.com,https://linkedin.com/company/fiserv,False
