company,email,career_url,linkedin_url
Accenture,candidate.queries@accenture.com,https://accenture.com/us-en/careers,https://linkedin.com/company/accenture
Accenture,india.recruitment@accenture.com,https://accenture.com/us-en/careers,https://linkedin.com/company/accenture
Accenture,india.recruitment@accenture.com,https://accenture.com/careers,linkedin.com/company/accenture
AdOnMo,ask@adonmo.com,https://adonmo.com/careers,https://linkedin.com/company/adonmo
BirlaSoft,careers@birlasoft.com,https://birlasoft.com/careers,linkedin.com/company/birlasoft
BlueSemi R&D; Pvt Ltd,divya@bluesemi.io,https://bluesemi.io/careers,https://linkedin.com/company/eyvabybluesemi
Capgemini,cg_interview_helpdesk.in@capgemini.com,https://careers.capgemini.com,https://linkedin.com/company/capgemini
Capgemini,cg_interview_helpdesk.in@capgemini.com,https://capgemini.com/careers,linkedin.com/company/capgemini
Cognizant,cognizant.recruitment@cognizant.com,https://talent.cognizant.com,https://linkedin.com/company/cognizant
Cognizant,cognizant.recruitment@cognizant.com,https://careers.cognizant.com,linkedin.com/company/cognizant
Cyient,hrescalations@cyient.com,https://careers.cyient.com/cyient,https://linkedin.com/company/cyient
DXC Technology,gss-hr-er@dxc.com,https://careers.dxc.com,https://linkedin.com/company/dxc-technology
FactSet,accommodations@factset.com,https://factset.com/careers,https://linkedin.com/company/factset
HCLTech,careers@hcl.com,https://hcltech.com/careers,linkedin.com/company/hcl-technologies
Infosys,career.development@infosys.com,https://infosys.com/careers.html,https://linkedin.com/company/infosys
Infosys,career.development@infosys.com,https://infosys.com/careers,linkedin.com/company/infosys
Persistent,careers@persistent.com,https://persistent.com/careers,linkedin.com/company/persistent-systems
Tata Consultancy Services (TCS),ilp.support@tcs.com,https://tcs.com/careers,https://linkedin.com/company/tata-consultancy-services
TCS,careers@tcs.com,https://tcs.com/careers,https://linkedin.com/company/tcs
TCS,careers@tcs.com,https://tcs.com/careers,linkedin.com/company/tata-consultancy-services
Tech Mahindra,careers@techmahindra.com,https://careers.techmahindra.com,https://linkedin.com/company/tech-mahindra
Tech Mahindra,careers@techmahindra.com,https://techmahindra.com/careers,linkedin.com/company/tech-mahindra
Virtusa,careers@virtusa.com,https://virtusa.com/careers,https://linkedin.com/company/virtusa
Virtusa,careers@virtusa.com,https://virtusa.com/careers,linkedin.com/company/virtusa
WhistleDrive,hello@whistledrive.com,https://whistledrive.com/careers,https://linkedin.com/company/whistledrive
WhistleDrive,sales@whistledrive.com,https://whistledrive.com/careers,https://linkedin.com/company/whistledrive
WhistleDrive,hr@whistledrive.com,https://whistledrive.com/careers,https://linkedin.com/company/whistledrive
Wipro,helpdesk.recruitment@wipro.com,https://careers.wipro.com,https://linkedin.com/company/wipro
Wipro,helpdesk.recruitment@wipro.com,https://careers.wipro.com,linkedin.com/company/wipro
Zensar,careers@zensar.com,https://zensar.com/careers,https://linkedin.com/company/zensar
Zensar Technologies,careers@zensar.com,https://zensar.com/careers,linkedin.com/company/zensar-technologies
