s_no,company,email,career_url,linkedin_url
6,Accenture,candidate.queries@accenture.com,https://accenture.com/us-en/careers,https://linkedin.com/company/accenture
7,Accenture,india.recruitment@accenture.com,https://accenture.com/careers,linkedin.com/company/accenture
16,AdOnMo,ask@adonmo.com,https://adonmo.com/careers,https://linkedin.com/company/adonmo
28,AjnaLens,careers@ajnalens.com,https://ajnalens.com/careers,https://linkedin.com/company/ajnalens
72,Ayekart,help@ayekart.com,https://ayekart.com/careers.html,https://linkedin.com/company/ayekart
91,BirlaSoft,careers@birlasoft.com,https://birlasoft.com/careers,linkedin.com/company/birlasoft
95,Bizongo,support@bizongo.com,https://bizongo.com/careers,https://linkedin.com/company/bizongo
101,BlueSemi R&D; Pvt Ltd,divya@bluesemi.io,https://bluesemi.io/careers,https://linkedin.com/company/eyvabybluesemi
102,BluSapphire,info@blusapphire.net,https://blusapphire.com/careers,https://linkedin.com/company/blusapphire
107,Bolt.Earth,sales@bolt.earth,https://bolt.earth/careers,https://linkedin.com/company/bolt-earth
112,Booz Allen Hamilton,helpdesk@bah.com,https://careers.boozallen.com/jobs/search,https://linkedin.com/company/booz-allen-hamilton
128,Capgemini,cg_interview_helpdesk.in@capgemini.com,https://capgemini.com/careers,linkedin.com/company/capgemini
130,Captain Fresh,marketing@captainfresh.in,https://captainfresh.in/careers,https://linkedin.com/company/captain-fresh
136,CGI,careers@cgi.com,https://cgi.com/careers,linkedin.com/company/cgi
146,Cloudnine Hospital,support@cloudnine.com,https://cloudninefertility.com/career,https://linkedin.com/company/cloudninehospitals
148,Coforge,careers@coforge.com,https://coforge.com/careers,linkedin.com/company/coforge
151,Cognizant,cognizant.recruitment@cognizant.com,https://careers.cognizant.com,linkedin.com/company/cognizant
165,CriticalRiver,contact@criticalriver.com,https://criticalriver.com/careers,https://linkedin.com/company/criticalriver
166,CtrlS Datacenters,recruitment@ctrls.in,https://ctrls.com/careers,https://linkedin.com/company/ctrls-datacenters-ltd
174,Cyient,hrescalations@cyient.com,https://careers.cyient.com/cyient,https://linkedin.com/company/cyient
178,Darwinbox,careers@darwinbox.com,https://darwinbox.com/careers,https://linkedin.com/company/darwinbox
203,DXC Technology,gss-hr-er@dxc.com,https://careers.dxc.com,https://linkedin.com/company/dxc-technology
209,EdgeVerve,careers@edgeverve.com,https://edgeverve.com/careers,linkedin.com/company/edgeverve
225,Evalueserve,careers@evalueserve.com,https://evalueserve.com/careers,https://linkedin.com/company/evalueserve
236,EY (Ernst & Young),contactrecruitment@au.ey.com,https://ey.com/en_in/careers,https://linkedin.com/company/ernstandyoung
243,FactSet,accommodations@factset.com,https://factset.com/careers,https://linkedin.com/company/factset
246,FarMart,info@farmart.co,https://farmart.co/careers,https://linkedin.com/company/farmart-app-os
254,Fiserv,askhr.us@fiserv.com,https://careers.fiserv.com,https://linkedin.com/company/fiserv
268,ftcash,support@ftcash.com,https://ftcash.com/careers,https://linkedin.com/company/ftcash
289,Genpact,careers@genpact.com,https://genpact.com/careers,linkedin.com/company/genpact
301,Graymatics,info@graymatics.com,https://graymatics.com/careers,https://linkedin.com/company/graymatics
318,HCLTech,careers@hcl.com,https://hcltech.com/careers,linkedin.com/company/hcl-technologies
327,Hinduja Tech,careers@hindujatech.com,https://hindujatech.com/careers,linkedin.com/company/hinduja-tech
333,Hogan Lovells,leaveofabsence_us@hlc.com,https://hlc.com/en/global-careers,https://linkedin.com/company/hogan-lovells
362,Infosys,career.development@infosys.com,https://infosys.com/careers,linkedin.com/company/infosys
378,Intuit,talentacquisition@intuit.com,https://jobs.intuit.com,https://linkedin.com/company/intuit
385,iSprout,hr@isprout.in,https://isprout.in/careers,https://linkedin.com/company/isprout
414,KaleidoFin,careers@kaleidofin.com,https://kaleidofin.com/careers,https://linkedin.com/company/kaleidofin
417,Kellton,careers@kellton.com,https://kellton.com/careers,linkedin.com/company/kellton
439,Kyndryl,careers@kyndryl.com,https://kyndryl.com/careers,linkedin.com/company/kyndryl
446,LANDEED,customers@landeed.com,https://landeed.com/careers,https://linkedin.com/company/landeed
453,LEO1,support@leo1.in,https://leo1.in/careers,https://linkedin.com/company/leo1
470,LTI (LTIMindtree),careers@ltimindtree.com,https://ltimindtree.com/careers,linkedin.com/company/lti
505,Mindtree,careers@mindtree.com,https://mindtree.com/careers,linkedin.com/company/mindtree
515,Mphasis,careers@mphasis.com,https://mphasis.com/careers,linkedin.com/company/mphasis
537,NIIT Technologies,careers@niit-tech.com,https://niit-tech.com/careers,linkedin.com/company/niit-technologies
538,Niramai,contact@niramai.com,https://niramai.com/careers,https://linkedin.com/company/niramai
548,NTT DATA,global.careers@nttdata.com,https://careers.services.global.ntt,https://linkedin.com/company/ntt-data
568,OTIS,careers@otis.com,https://otis.com/en/us/careers,https://linkedin.com/company/otis
584,Persistent,careers@persistent.com,https://persistent.com/careers,linkedin.com/company/persistent-systems
596,Principal Financial Group,myhr@principal.com,https://principal.com/about-us/careers,https://linkedin.com/company/principalfinancialgroup
621,RACE Energy,hello@racenergy.in,https://racenergy.in/careers,https://linkedin.com/company/racenergy
622,Ramco Systems,contact@ramco.com,https://ramco.com/careers,https://linkedin.com/company/ramco-systems
634,ReOrbit,launch@reorbit.com,https://careers.reorbit.space/jobs,https://linkedin.com/company/reorbit
663,SatSure,info@satsure.co,https://satsure.co/careers,https://linkedin.com/company/satsure
677,Selectsys,hr@selectsys.com,https://selectsys.com/careers,https://linkedin.com/company/selectsys-com
688,Signzy,connect@signzy.com,https://signzy.com/careers,https://linkedin.com/company/signzy
691,Skillsoft,india@skillsoft.com,https://skillsoft.com/careers,https://linkedin.com/company/skillsoft
695,Smartworks,careers@sworks.co.in,https://smartworksoffice.com/careers,https://linkedin.com/company/smartworks-office
701,Sonata Software,careers@sonata-software.com,https://sonata-software.com/careers,linkedin.com/company/sonata-software
709,Stellapps,info@stellapps.com,https://stellapps.com/career,https://linkedin.com/company/stellapps-technologies…
717,Synchronoss,careers@synchronoss.com,https://synchronoss.com/careers,linkedin.com/company/synchronoss
727,Tata Consultancy Services (TCS),ilp.support@tcs.com,https://tcs.com/careers,https://linkedin.com/company/tata-consultancy-services
728,Tata Elxsi,careers@tataelxsi.com,https://tataelxsi.com/careers,linkedin.com/company/tata-elxsi
730,TCS,careers@tcs.com,https://tcs.com/careers,linkedin.com/company/tata-consultancy-services
735,Tech Mahindra,careers@techmahindra.com,https://techmahindra.com/careers,linkedin.com/company/tech-mahindra
777,Upliance.ai,hi@upliance.ai,https://upliance.ai/careers,https://linkedin.com/company/upliance-ai
784,ValueLabs,careers@valuelabs.co.in,https://valuelabs.co.in/careers,linkedin.com/company/valuelabs
793,Virtusa,careers@virtusa.com,https://virtusa.com/careers,linkedin.com/company/virtusa
796,Vitra.ai,contact@vitra.ai,https://vitra.ai/careers,https://linkedin.com/company/vitra-ai
808,Wellfound,talent@wellfound.com,https://wellfound.com/company/wellfound,https://linkedin.com/company/wellfoundhq
814,WhistleDrive,hello@whistledrive.com,https://whistledrive.com/careers,https://linkedin.com/company/whistledrive
815,Wipro,helpdesk.recruitment@wipro.com,https://careers.wipro.com,https://linkedin.com/company/wipro
836,Zelis,verify-offers@zelis.com,https://careers.zelis.com,https://linkedin.com/company/zelis
838,Zensar,careers@zensar.com,https://zensar.com/careers,https://linkedin.com/company/zensar
839,Zensar Technologies,careers@zensar.com,https://zensar.com/careers,linkedin.com/company/zensar-technologies
841,Zetwerk,cs@zetwerk.com,https://zetwerk.com/careers,https://linkedin.com/company/zetwerk
